id,text
p0,"I need you as a english speaking assistant towards modeling a specific optimization problem. You'll be receiving a sequence of questions and instructions."
p1,"What do you know about optimization problems? Create a table storing the different categories, types, forms, their names, descriptions and order it from most appearances (10) to less appearances (1). Provide the result as CSV-file with header ""Rank, Type/Name, Abbreviation, Description, Solvability, Example, Appearances"""
p2,"Consider software-development using SCRUM as agile method - What are the typical steps and phases of such a project? Create a CSV-file containing all smaller steps/phases from initial project planning, the development cycle, reviews all the until release and CI/CD. Use the following header ""ID, Step, Description, Interval, Result"""
p3,"In context of SCRUM, analyze how Natural Language Processing can be used to extract, structure and evaluate system requirements and their complexity in the software development process. Create a CSV-file with header ""Keyword, Category, Description, RelevantScrumEntities"""
p4,"In context of a software-development team using scrum, describe what typical factors and forms exist towards the creation of cognitive pressure and stress development Create a CSV-file with header ""ID, Name, Description, AffectedEntities, Influence"" where Influences ranges vom 10 (high influence) to 1 (very little influence)"
p5,"Consider the following structures for a domain model of a software development company using SCRUM:
Entities.csv
```csv
Name,Description,Attribute0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8
Project,The product or initiative to be developed,ID,Name,Project Start,Project End,Description,Budget,Status,Target Audience,Priority
Team,Self-organized, cross-functional development team,ID,Name,Team Size,Team Start,Team Status,Location,Team Type,
Worker / Employee,Individual team member working on the project,ID,Name,First Name,Email,Start Date,Status,Availability,
Feature,Mid-sized functionality,ID,Title,Description,Status,Priority,Estimated Effort,,,
Skill / Competence,Professional or social competence of a worker,ID,Label,Description,Level,Certified,Category,
Role(s),Defined responsibilities within the Scrum team,ID,Role Name,Description,Area of Responsibility,,,
Product Owner,Responsible for product vision and Product Backlog,ID,Name,Email,Availability,,,,,
Scrum Master,Supports the team in applying Scrum,ID,Name,Email,Experience,,,,,
Product Backlog,Ordered list of all requirements,ID,Created On,Last Updated,Number of Entries,Status,,,,
Sprint,Fixed time period for creating an increment,ID,Sprint Number,Start Date,End Date,Status,Achievement of Goal,,,
Sprint Planning,Kick-off meeting for Sprint preparation,ID,Date,Duration (min),Moderation,Outcome Documentation,,,,
Daily Scrum,Daily 15-minute team meeting,ID,Date,Time,Duration,Moderation,,,,
Sprint Review,Presentation and acceptance of results,ID,Date,Duration,Feedback Documentation,Attendees Count,,,,
Sprint Retrospective,Retrospective for process improvement,ID,Date,Duration,Improvement Actions,Team Satisfaction,Moderation,,,
Sprint Backlog,Selected backlog items + implementation plan,ID,Number of Tasks,Last Updated,Status,Total Effort,,,,
Sprint Goal,Objective to be achieved within the sprint,ID,Objective Description,Achievement Status,Benefit,,,,
Epic,Large requirement that can be split into stories,ID,Title,Description,Priority,Status,Estimated Effort,,,
User Story,Requirement from the perspective of a user,ID,Title,Description,Acceptance Criteria,Priority,Story Points,Status,,,
Task / Sub-Task,Smallest unit of work within a sprint,ID,Title,Description,Status,Effort,Type,,,
Development Snapshot,Product at the end of a sprint,ID,Version Number,Creation Date,Test Status,Deployment Target,Documentation,,,
Blocker / Problem / Bug,Obstacle hindering progress,ID,Title,Description,Severity,Status,Detected On,Resolved On,,,
Stakeholder,Interested party in the product (internal/external),ID,Name,Organization,Role,Email,Area of Interest,Influence Level,Relevance to Feature,
Velocity,Average amount of work per sprint,ID,Number of Sprints Used,Avg. Story Points,Max Velocity,Min Velocity,Trend,,,
Release Plan,Plan for releasing specific features,ID,Version,Planned Date,Included Features,Status,,,,
Roadmap,Long-term planning across releases,ID,Start Date,End Date,Milestones,Objectives,Versions,,,,
Scrum Board,Visual representation of tasks during the sprint,ID,Board Type,Columns (ToDo/Done...),Number of Cards,Last Updated,,,,
Feature Documentation,Documentation for a specific feature,ID,Title,Description,Creation Date,Change Log,Linked Requirements,Author,,,
```
Relationships.csv
```csv
Name,Description,Entity1,Entity2,Cardinality
is_assigned_to_project,The team is assigned to a project,Team,Project,1:N
belongs_to_team,An employee is assigned to a team,Employee,Team,N:1
has_skill,An employee has certain skills,Employee,Skill,N:M
takes_on_role,An employee assumes a role in the team,Employee,Role(s),N:M
manages_backlog,The Product Owner manages the Product Backlog,Product Owner,Product Backlog,1:1
is_supported_by,The team is supported by a Scrum Master,Team,Scrum Master,1:1
contains_feature,A Product Backlog contains Features,Product Backlog,Feature,1:N
contains_epic,A Product Backlog contains Epics,Product Backlog,Epic,1:N
contains_user_story,An Epic contains multiple User Stories,Epic,User Story,1:N
consists_of_tasks,A User Story consists of multiple Tasks,User Story,Task / Sub-Task,1:N
is_in_sprint_backlog,A User Story is assigned to a Sprint Backlog,User Story,Sprint Backlog,N:M
belongs_to_sprint,A Sprint Backlog belongs to a Sprint,Sprint Backlog,Sprint,1:1
pursues_goal,A Sprint pursues a defined goal,Sprint,Sprint Goal,1:1
contains_tasks,A Scrum Board contains all tasks of a Sprint,Scrum Board,Task / Sub-Task,1:N
documents_feature,Feature Documentation belongs to a Feature,Feature Documentation,Feature,1:1
is_blocked_by,A Task can be blocked by a Blocker,Task / Sub-Task,Blocker / Problem / Bug,N:M
participates_in,Stakeholders participate in a Sprint Review,Stakeholder,Sprint Review,N:M
moderates_retrospective,A Scrum Master moderates the Retrospective,Scrum Master,Sprint Retrospective,1:N
refers_to_team,Velocity refers to a specific Team,Velocity,Team,1:1
plans_release,A Release Plan includes multiple Features,Release Plan,Feature,1:N
is_part_of_roadmap,A Release Plan is part of a Roadmap,Release Plan,Roadmap,N:1
generates_snapshot,A Sprint generates a Development Snapshot,Sprint,Development Snapshot,1:1
```
Read through them and store them in your memory"
p6,"Now define the Main Goals and Conditions of the optimization problem, based on all provided Entities.csv and Relationships.csv Create a CSV of form ""ID,Type,Name,Description,CriteriaType"" The ""CriteriaType"" column can be any of the following 3 values: { 2 = ðŸŸ¢Must-Match, 1 = ðŸŸ¡Can-Match, 0 =ðŸ”´Cannot-Match } Provide a equal number of goals in each ""CriteriaType"" and provide the result as a CSV"
p7,"Based on the previously provided Entities.csv and Relationships.csv and your generated Goals and Constraints - Create a list of decision variables for our domain model that can be both boolean and numeric. Store them in a CSV-File with the following header: ""ID, Name, Description, Type, Domain, Related Entities, Related Goals, Related Conditions"""
p8,"Transform all provided data (Entities, Goals, Conditions, Decision Variables) into the mathematical/logical representation of a optimization problem."
p9,"Save the created optimization model as LaTex file"
p10,"Turn the optimization problem into a optimization model graph by using Mermaid.js Live Editor Syntax. Include the Entities, Attributes, Relationships, Goals, Conditions. Use the following colors for the different classes\n%% Class Definitions\nclassDef entity fill:#d1b3ff,stroke:#333;\nclassDef variable fill:#99e699,stroke:#333;\nclassDef goal fill:#99ccff,stroke:#333;\nclassDef constraint fill:#ff9999,stroke:#333;\nclassDef relationship fill:#ffe066,stroke:#333;"
